,Day,Card,Sum
238,26,447018,0.0
239,14,447018,0.0
240,3,41105,400.0
241,23,41105,22.1
242,24,41105,30.87
243,27,41105,403.52
244,21,41105,273.93
245,25,41105,0.0
246,29,41105,165.0
247,30,41105,64.8
248,22,41105,19.27
249,28,41105,24.06
250,31,41105,0.0
251,18,41105,50.0
252,13,41105,0.0
253,19,41105,280.0
254,20,41105,190.16
255,15,41105,50.0
256,16,41105,0.0
257,17,41105,59.41
258,26,41105,0.0
259,14,41105,0.0
260,3,1132097,4134.29
261,23,1132097,300.0
262,24,1132097,188.89
263,27,1132097,910.0
264,21,1132097,300.0
265,25,1132097,0.0
266,29,1132097,1087.0
267,30,1132097,0.0
268,22,1132097,1104.0
269,28,1132097,5.0
270,31,1132097,0.0
271,18,1132097,619.5
272,13,1132097,0.0
273,19,1132097,306.0
274,20,1132097,835.67
275,15,1132097,0.0
276,16,1132097,0.0
277,17,1132097,300.0
278,26,1132097,0.0
279,14,1132097,0.0
280,3,3725103,255.96
281,23,3725103,0.0
282,24,3725103,100.0
283,27,3725103,108.51
284,21,3725103,0.0
285,25,3725103,0.0
286,29,3725103,12.88
287,30,3725103,11.44
288,22,3725103,0.0
289,28,3725103,0.0
290,31,3725103,0.0
291,18,3725103,0.0
292,13,3725103,12.98
293,19,3725103,0.0
294,20,3725103,0.0
295,15,3725103,49.36
296,16,3725103,4.37
297,17,3725103,10.53
298,26,3725103,0.0
299,14,3725103,20.23
300,3,1112734,23734.76
301,23,1112734,0.0
302,24,1112734,0.0
303,27,1112734,0.0
304,21,1112734,0.0
305,25,1112734,0.0
306,29,1112734,0.0
307,30,1112734,0.0
308,22,1112734,0.0
309,28,1112734,0.0
310,31,1112734,0.0
311,18,1112734,0.0
312,13,1112734,0.0
313,19,1112734,0.0
314,20,1112734,0.0
315,15,1112734,0.0
316,16,1112734,0.0
317,17,1112734,0.0
318,26,1112734,0.0
319,14,1112734,0.0
320,3,1983531,289.2
321,23,1983531,0.0
322,24,1983531,0.0
323,27,1983531,0.0
324,21,1983531,0.0
325,25,1983531,0.0
326,29,1983531,0.0
327,30,1983531,0.0
328,22,1983531,0.0
329,28,1983531,0.0
330,31,1983531,0.0
331,18,1983531,0.0
332,13,1983531,0.0
333,19,1983531,0.0
334,20,1983531,0.0
335,15,1983531,0.0
336,16,1983531,0.0
337,17,1983531,0.0
338,26,1983531,0.0
339,14,1983531,37.64
340,3,464391,112.38
341,23,464391,0.73
342,24,464391,0.0
343,27,464391,18.85
344,21,464391,20.03
345,25,464391,0.0
346,29,464391,0.0
347,30,464391,0.0
348,22,464391,37.22
349,28,464391,25.17
350,31,464391,0.0
351,18,464391,0.96
352,13,464391,21.12
353,19,464391,0.0
354,20,464391,0.0
355,15,464391,0.0
356,16,464391,116.0
357,17,464391,0.0
358,26,464391,5.0
359,14,464391,19.46
360,3,888708,1190.62
361,23,888708,209.93
362,24,888708,11.26
363,27,888708,135.77
364,21,888708,0.0
365,25,888708,25.0
366,29,888708,30.99
367,30,888708,200.0
